id,name,query,number
1,East Kowloon General Out-patient Clinic,East Kowloon General Out-patient Clinic,99033
2,Hong Kong Buddhist Hospital General Out-patient Clinic,Hong Kong Buddhist Hospital General Out-patient Clinic,43871
3,Our Lady of Maryknoll Hospital Family Medicine Clinic,Our Lady of Maryknoll Hospital Family Medicine Clinic,133458
4,Robert Black General Out-patient Clinic,Robert Black General Out-patient Clinic,80023
5,Wang Tau Hom Jockey Club General Out-patient Clinic,Wang Tau Hom Jockey Club General Out-patient Clinic,37963
6,Wu York Yu General Out-patient Clinic,Wu York Yu General Out-patient Clinic,34285
7,"CHAK, NGAI CHUEN","Room 2720, 27th Floor, New Tech Plaza, 34 Tai Yau Street, San Po Kong, Kowloon",8760
8,"CHAN, CHUEN","Ground Floor, 56A, Wan Fung Street, Fung Wong New Village, Wong Tai Sin, Kowloon",8760
9,"CHAN, KA SHING RICKY","Shop A3, Ground Floor, 40 Yuk Wah Street, Tsz Wan Shan, Kowloon",8760
10,"CHAN, KING HONG","Shop 116B, 1st Floor, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill, Kowloon",8760
11,"CHAN, KWOK PING","Shop 108, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin Lower Estate, Wong Tai Sin, Kowloon",8760
12,"CHAN, LAI MAN","Shop 3135, Lok Fu Shopping Centre, Lok Fu, Wong Tai Sin, Kowloon",8760
13,"CHAN, PUI KWONG","Shop S206, Chuk Yuen Plaza, 15 Chuk Yuen Road, Wong Tai Sin, Kowloon",8760
14,"CHAN, TAI SHAN","Shop H1, Ground Floor, Po Fat Building, 54 Wan Fung Street, Wong Tai Sin, Kowloon",8760
15,"CHANG, CHIA YAN","Shop No. 9, Tropicana Gardens , 110 Lung Cheung Road, Wong Tai Sin, Kowloon",8760
16,"CHEUNG, SZE MAN","Shop 116B, Plaza Hollywood, Diamond Hill, Kowloon",8760
17,"CHEUNG, TAK SUI","Room 301-302, Lung Cheung Mall, 136 Lung Cheung Road, Wong Tai Sin, Kowloon",8760
18,"CHEUNG, TAK SUI","Shop 3136, 3rd Floor, Lok Fu Plaza, 198 Junction Road, Lok Fu, Wong Tai Sin, Kowloon",8760
